Model,Input,R2,RMSE,MAE,training_time
GRU,PPG,0.9453,0.4499111,0.3499218,1125.3312
GRU,Area,0.8891562,0.6404555,0.4764236,1545.8067
GRU,both,0.9656798,0.3563758,0.2625069,1261.9858
CNN,PPG,0.6292786,1.17127,0.7963005,130.0373
CNN,Area,0.7517552,0.9584586,0.6302015,188.7931
CNN,both,0.9403328,0.4698953,0.284974,198.067
TCN,PPG,0.9072925,0.585721,0.410575,298.665516458333
TCN,Area,0.9562379,0.4024227,0.2856913,271.323449666667
TCN,both,0.9764678,0.2950966,0.2009276,269.723443666667
